original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.10117,-86.81774,1,42.17115165,"4132 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.10146828,-86.81802989,,4132,Hillsboro Pike,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.101256,-86.81937,1,16.91277242,"2110 Hobbs Road, Nashville-Davidson, TN 37215, United States of America",36.10110916,-86.8194191,,2110,Hobbs Road,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.102127,-86.817664,1,16.21302775,"4105 Hillsboro Pike, Nashville, TN 37215, United States of America",36.102151,-86.817842,,4105,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.102223,-86.817585,1,24.43802108,"4105 Hillsboro Pike, Nashville, TN 37215, United States of America",36.102151,-86.817842,,4105,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.102629,-86.786395,1,33.95904052,"904 Buford Place, Nashville-Davidson, TN 37204, United States of America",36.10301295,-86.78652831,,904,Buford Place,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10266,-86.8187,1,35.67814516,"2164 Hillsboro Drive, Nashville-Davidson, TN 37215, United States of America",36.10234023,-86.8187327,,2164,Hillsboro Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10304,-86.798,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.103082,-86.812977,1,40.64227427,"1918 Warfield Drive, Nashville, TN 37215, United States of America",36.102718,-86.813018,,1918,Warfield Drive,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.1031,-86.79802,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10312,-86.79814,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10313,-86.79805,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.1032,-86.7981,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.103307,-86.819569,6,31.69874695,"4199 Hillsboro Circle, Nashville-Davidson, TN 37215, United States of America",36.103592,-86.819561,,4199,Hillsboro Circle,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.103334,-86.816614,1,64.69911878,"4044 B Hillsboro Pike, Nashville, TN 37215, United States of America",36.1028,-86.816328,,4044 B,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.103341,-86.818711,1,47.0068581,"4017 Hillsboro Pike, Nashville, TN 37215, United States of America",36.103061,-86.818319,,4017,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.10341,-86.81784,1,5.03230396,"Warfield Drive, Nashville-Davidson, TN 37215, United States of America",36.103399,-86.8172554,Warfield Drive,,Warfield Drive,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.103618,-86.818913,1,81.75504929,"4017 Hillsboro Pike, Nashville, TN 37215, United States of America",36.103061,-86.818319,,4017,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.103679,-86.822043,1,21.39615145,"2201 Warfield Lane, Nashville-Davidson, TN 37215, United States of America",36.103686,-86.822281,,2201,Warfield Lane,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10399,-86.79757,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.1041,-86.80244,1,26.46919736,"1641 South Observatory Drive, Nashville-Davidson, TN 37215, United States of America",36.10433789,-86.8024296,,1641,South Observatory Drive,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10421,-86.7976,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10424,-86.81005,1,13.45861839,"2023 Richard Jones Road, Nashville-Davidson, TN 37215, United States of America",36.10435868,-86.8100794,,2023,Richard Jones Road,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.104286,-86.820714,1,254.6591973,"4017 Hillsboro Pike, Nashville, TN 37215, United States of America",36.103061,-86.818319,,4017,Hillsboro Pike,37215,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
